Authors,Title,Publication,Volume,Issue,Pages,Year,Publisher
"Tsuruda, Jennifer M; Harris, Jeffrey W; Bourgeois, Lanie; Danka, Robert G; Hunt, Greg J; ",High-resolution linkage analyses to identify genes that influence Varroa sensitive hygiene behavior in honey bees,PLoS One,7,11,e48276,2012,"Public Library of Science San Francisco, USA"
"Gunes, Nazmiye; Aydın, Levent; Belenli, Deniz; Hranitz, John M; Mengilig, Sami; Selova, Semih; ",Stress responses of honey bees to organic acid and essential oil treatments against varroa mites,Journal of Apicultural Research,56,2,175-181,2017,Taylor & Francis
"García-Fernández, Pedro; Santiago-Álvarez, Cándido; Quesada-Moraga, Enrique; ","Pathogenicity and thermal biology of mitosporic fungi as potential microbial control agents of Varroa destructor (Acari: Mesostigmata), an ectoparasitic mite of honey bee, Apis mellifera (Hymenoptera: Apidae)",Apidologie,39,6,662-673,2008,EDP Sciences
"Kochansky, Jan; Shimanuki, Hachiro; ",Development of a gel formulation of formic acid for control of parasitic mites of honey bees,Journal of agricultural and food chemistry,47,9,3850-3853,1999,ACS Publications
"Singh, Dwijendra; ",Management of mite pests in honeybee colonies through botanicals,Advances in Plant Biopesticides,,,271-277,2014,Springer India
"Büchler, Ralph; Drescher, Wilhelm; Tornier, Ingo; ","Grooming behaviour of Apis cerana, Apis mellifera and Apis dorsata and its effect on the parasitic mites Varroa jacobsoni and Tropilaelaps clareae",Experimental & applied acarology,16,4,313-319,1992,Kluwer Academic Publishers Dordrecht
"Domatskaya, TF; Domatsky, AN; Levchenko, MA; ","The effectiveness of Apiguard against varroatosis (the case of Tyumen region apiaries, Russia",Ukrainian Journal of Ecology,11,9,122-126,2021,Мелитопольский государственный педагогический университет им. Богдана …
"Lupo, A; Gerling, D; ",A comparison between the efficiency of summer treatments using formic acid and Taktic® against Varroa jacobsoni in beehives,Apidologie,21,3,261-267,1990,EDP Sciences
"Lodesani, Marco; Costa, Cecilia; ",Limits of chemotherapy in beekeeping: development of resistance and the problem of residues,Bee World,86,4,102-109,2005,Taylor & Francis
"Alquisira-Ramírez, Eva Vianey; Peña-Chora, Guadalupe; Hernández-Velázquez, Víctor Manuel; Alvear-García, Andrés; Arenas-Sosa, Iván; Suarez-Rodríguez, Ramón; ",Effects of Bacillus thuringiensis strains virulent to Varroa destructor on larvae and adults of Apis mellifera,Ecotoxicology and environmental safety,142,,69-78,2017,Elsevier
"VAN LAERE, OCTAAF; ",Laboratory study on varroacidal efficacy and toxicity for bees of certain substances used in sugar syrup,Bulletin of the Veterinary Institute in Pulawy,38,2,119-123,1994,Index Copernicus
"Colin, ME; ",Alternative control of the varroosis,Cah. Options Méditerr,21,,87-98,1997,
"Higes, Mariano; Martín‐Hernández, Raquel; Martínez‐Salvador, Amparo; Garrido‐Bailón, Encarna; González‐Porto, Amelia Virginia; Meana, Aránzazu; Bernal, José Luis; Del Nozal, Maria Jesús; Bernal, José; ",A preliminary study of the epidemiological factors related to honey bee colony loss in Spain,Environmental Microbiology Reports,2,2,243-250,2010,Wiley Online Library
"de Guzman, Lilia I; Rinderer, Thomas E; Frake, Amanda M; ",Comparative reproduction of Varroa destructor in different types of Russian and Italian honey bee combs,Experimental and Applied Acarology,44,3,227-238,2008,Springer
"Calis, Johan NM; Fries, Ingemar; Ryrie, Stephen C; ",Population modelling of Varroa jacobsoni Oud,Apidologie,30,02-Mar,111-124,1999,EDP Sciences
"Underwood, Robyn M; Currie, Robert W; ",Indoor winter fumigation of Apis mellifera (Hymenoptera: Apidae) colonies infested with Varroa destructor (Acari: Varroidae) with formic acid is a potential control alternative in northern climates,Journal of economic entomology,97,2,177-186,2004,"Oxford University Press Oxford, UK"
"Gregorc, Aleš; Planinc, Ivo; ",Sustainable varroa mite (Varroa destructor) control in field conditions,Acta Veterinaria Brno,91,4,401-407,2022,University of Veterinary Sciences Brno
"Molineri, Ana I; Pacini, Adriana; Giacobino, Agostina; Bulacio-Cagnolo, Natalia; Aignasse, Andrea; Zago, Luis; Fondevila, Norberto; Ferrufino, Cecilia; Merke, Julieta; Orellano, Emanuel; ",Prevalence of honey bee (Apis mellifera) viruses in temperate and subtropical regions from Argentina,Revista Argentina de microbiologia,49,2,166-173,2017,Elsevier Doyma
"Sabahi, Qodratollah; Gashout, Hanan; Kelly, Paul G; Guzman-Novoa, Ernesto; ",Continuous release of oregano oil effectively and safely controls Varroa destructor infestations in honey bee colonies in a northern climate,Experimental and Applied Acarology,72,,263-275,2017,Springer International Publishing
"Locke, Barbara; ",Inheritance of reduced Varroa mite reproductive success in reciprocal crosses of mite-resistant and mite-susceptible honey bees (Apis mellifera),Apidologie,47,,583-588,2016,Springer Paris
"Locke, Barbara; Thaduri, Srinivas; Stephan, Jörg G; Low, Matthew; Blacquière, Tjeerd; Dahle, Bjørn; Le Conte, Yves; Neumann, Peter; de Miranda, Joachim R; ",Adapted tolerance to virus infections in four geographically distinct Varroa destructor-resistant honeybee populations,Scientific reports,11,1,12359,2021,Nature Publishing Group UK London
"Bąk, Beata; Wilde, Jerzy; Siuda, Maciej; ",The condition of honey bee colonies (Apis mellifera) treated for Varroa destructor by different methods,Journal of Apicultural Research,57,5,674-681,2018,Taylor & Francis
"Zakar, E; Javor, A; Kusza, Sz; ",Genetic bases of tolerance to Varroa destructor in honey bees (Apis mellifera L.),Insectes sociaux,61,,207-215,2014,Springer Basel
"Eynard, Sonia E; Sann, Christina; Basso, Benjamin; Guirao, Anne-Laure; Le Conte, Yves; Servin, Bertrand; Tison, Lea; Vignal, Alain; Mondet, Fanny; ",Descriptive analysis of the Varroa non-reproduction trait in honey bee colonies and association with other traits related to Varroa resistance,Insects,11,8,492,2020,MDPI
"Bogdanov, Stefan; Charrière, Jean-Daniel; Imdorf, Anton; Kilchenmann, Verena; Fluri, Peter; ",Determination of residues in honey after treatments with formic and oxalic acid under field conditions,Apidologie,33,4,399-409,2002,EDP Sciences
"Smoliński, Szymon; Langowska, Aleksandra; Glazaczow, Adam; ",Raised seasonal temperatures reinforce autumn Varroa destructor infestation in honey bee colonies,Scientific reports,11,1,22256,2021,Nature Publishing Group UK London
"Gregorc, Aleš; Planinc, Ivo; ","Use of thymol formulations, amitraz, and oxalic acid for the control of the varroa mite in honey bee (Apis mellifera carnica) colonies",Journal of Apicultural Science,56,2,61-69,2012,
"Johnson, Reed M; Wen, Zhimou; Schuler, Mary A; Berenbaum, May R; ",Mediation of pyrethroid insecticide toxicity to honey bees (Hymenoptera: Apidae) by cytochrome P450 monooxygenases,Journal of economic entomology,99,4,1046-1050,2006,"Oxford University Press Oxford, UK"
"Pinto, Fábio de Assis; Puker, A; Barreto, LMRC; ",The ectoparasite mite Varroa destructor Anderson and Trueman in southeastern Brazil apiaries: effects of the hygienic behavior of Africanized honey bees on infestation rates,Arquivo Brasileiro de Medicina Veterinária e Zootecnia,64,,1194-1199,2012,SciELO Brasil
"Kanga, Lambert HB; Jones, Walker A; Gracia, Carlos; ",Efficacy of strips coated with Metarhizium anisopliae for control of Varroa destructor (Acari: Varroidae) in honey bee colonies in Texas and Florida,Experimental & applied acarology,40,,249-258,2006,Kluwer Academic Publishers
"Razavi, Seyed Mostafa; Asadpour, Mohammad; Jafari, Arash; Malekpour, Seyed Hossein; ",The field efficacy of Lepidium latifolium and Zataria multiflora methanolic extracts against Varroa destructor,Parasitology research,114,,4233-4238,2015,Springer Berlin Heidelberg
"Rinderer, Thomas E; de Guzman, Lilia I; Delatte, GT; Stelzer, JA; Lancaster, VA; Kuznetsov, VICTOR; Beaman, L; Watts, Rachel; Harris, JW; ",Resistance to the parasitic mite Varroa destructor in honey bees from far-eastern Russia,Apidologie,32,4,381-394,2001,EDP Sciences
"Gashout, Hanan A; Guzman-Novoa, Ernesto; Goodwin, Paul H; ",Synthetic and natural acaricides impair hygienic and foraging behaviors of honey bees,Apidologie,51,,1155-1165,2020,Springer Paris
"Sanchez-Bayo, Francisco; Goka, Koichi; ",Impacts of pesticides on honey bees,Beekeeping and bee conservation-advances in research,4,,77-97,2016,IntechOpen
"Means, Jackson C; ",Development of a Precision Mite Management Program for the Control of the Ectoparasite Varroa destructor in Hives of Apis mellifera L.,,,,,2014,Virginia Tech
"Mattos, Igor Médici; Chaud-Neto, José; ",Analysis of mortality in Africanized honey bee colonies with high levels of infestation by Varroa destructor,Sociobiology,59,2,369-380,2012,
"Huang, Zachary Y; Bian, Guowu; Xi, Zhiyong; Xie, Xianbing; ",Genes important for survival or reproduction in Varroa destructor identified by RNAi,Insect science,26,1,68-75,2019,Wiley Online Library
"Martin, Caroline; Provost, Erick; Roux, Maurice; Bruchou, Claude; Crauser, Didier; Clement, Jean‐Luc; Le Conte, Yves; ","Resistance of the honey bee, Apis mellifera to the acarian parasite Varroa destructor: behavioural and electroantennographic data",Physiological Entomology,26,4,362-370,2001,Wiley Online Library
"Schöning, Caspar; Gisder, Sebastian; Geiselhardt, Sven; Kretschmann, Ivonne; Bienefeld, Kaspar; Hilker, Monika; Genersch, Elke; ","Evidence for damage-dependent hygienic behaviour towards Varroa destructor-parasitised brood in the western honey bee, Apis mellifera",Journal of Experimental Biology,215,2,264-271,2012,Company of Biologists
"Ostermann, David J; Currie, Robert W; ",Effect of formic acid formulations on honey bee (Hymenoptera: Apidae) colonies and influence of colony and ambient conditions on formic acid concentration in the hive,Journal of economic Entomology,97,5,1500-1508,2004,"Oxford University Press Oxford, UK"
"Chaimanee, Veeranan; Johnson, Josephine; Pettis, Jeffery S; ",Determination of amitraz and its metabolites residue in honey and beeswax after Apivar® treatment in honey bee (Apis mellifera) colonies,Journal of Apicultural Research,61,2,213-218,2022,Taylor & Francis
"Pusceddu, Michelina; Floris, Ignazio; Mura, Alessandra; Theodorou, Panagiotis; Cirotto, Giorgia; Piluzza, Giovanna; Bullitta, Simonetta; Angioni, Alberto; Satta, Alberto; ",The effects of raw propolis on Varroa-infested honey bee (Apis mellifera) workers,Parasitology research,117,,3527-3535,2018,Springer Berlin Heidelberg
"Kolics, Éva; Sajtos, Zsófi; Mátyás, Kinga; Szepesi, Kinga; Solti, Izabella; Németh, Gyöngyi; Taller, János; Baranyai, Edina; Specziár, András; Kolics, Balázs; ",Changes in lithium levels in bees and their products following anti-varroa treatment,Insects,12,7,579,2021,MDPI
"Locke, Barbara; Fries, Ingemar; ",Characteristics of honey bee colonies (Apis mellifera) in Sweden surviving Varroa destructor infestation,Apidologie,42,,533-542,2011,Springer-Verlag
"Underwood, Robyn M; Currie, Robert W; ",Effect of concentration and exposure time on treatment efficacy against varroa mites (Acari: Varroidae) during indoor winter fumigation of honey bees (Hymenoptera: Apidae) with formic acid,Journal of economic entomology,98,6,1802-1809,2005,"Oxford University Press Oxford, UK"
"Milani, Norberto; Della Vedova, Giorgio; ",Decline in the proportion of mites resistant to fluvalinate in a population of Varroa destructor not treated with pyrethroids,Apidologie,33,4,417-422,2002,EDP Sciences
"Macedo, Paula A; Wu, J; Ellis, Marion D; ",Using inert dusts to detect and assess varroa infestations in honey bee colonies,Journal of apicultural research,41,01-Feb,03-Jul,2002,Taylor & Francis
"Refaei, Ghada S; ","Comparing Effect of Plant-derived Oils on Varroa destructor Infesting Honeybee, Apis mellifera",Acarines: Journal of the Egyptian Society of Acarology,12,1,61-64,2018,Egyptian Society of Acarology (JESA)
"Devlin, Shawn Michael; ",Comparative Analyses of Sampling Methods for Varroa,"Citeseer: State College, PA, USA",,,,2001,
"Gashout, Hanan; ","Effect of sub-lethal doses of synthetic and natural acaricides on honey bee (Apis mellifera L.) health, memory, behaviour and associated gene expression",,,,,2017,University of Guelph
"Jack, Cameron J; van Santen, Edzard; Ellis, James D; ",Evaluating the efficacy of oxalic acid vaporization and brood interruption in controlling the honey bee pest Varroa destructor (Acari: Varroidae),Journal of Economic Entomology,113,2,582-588,2020,Oxford University Press US
"Alvarez-Ventura, Stephany C; ",Measuring Impacts of Neem Oil and Amitraz on Varroa destructor and Apis Mellifera in Different Agricultural Systems of South Florida,,,,,2011,
"Rinderer, Thomas E; Kuznetsov, Victor N; Danka, Robert G; Delatte, Gary T; ",An importation of potentially Varroa-resistant honey bees from far-eastern Russia,American Bee Journal,137,11,787-790,1997,"[Hamilton, Ill.: Dadant & Sons], 1861-"
"Pettis, JS; Wilson, WT; Shimanuki, H; Teel, PD; ","Fluvalinate treatment of queen and worker honey bees (Apis mellifera L) and effects on subsequent mortality, queen acceptance and supersedure",Apidologie,22,1,01-Jul,1991,EDP Sciences
"Asha, Rachna Gulati; Sharma, SK; ",Efficacy of formic acid against Varroa destructor in Apis mellifera colonies,Int. J. Agril. Sci. Vol. III (1st Issue) pp,29,,33,2012,
"Guo, Lei; Fan, Xin-yu; Qiao, Xiaomu; Montell, Craig; Huang, Jia; ",An octopamine receptor confers selective toxicity of amitraz on honeybees and Varroa mites,Elife,10,,e68268,2021,"eLife Sciences Publications, Ltd"
"Han, Jennifer O; Naeger, Nicholas L; Hopkins, Brandon K; Sumerlin, David; Stamets, Paul E; Carris, Lori M; Sheppard, Walter S; ",Directed evolution of Metarhizium fungus improves its biocontrol efficacy against Varroa mites in honey bee colonies,Scientific reports,11,1,10582,2021,Nature Publishing Group UK London
"Stanghellini, Michael S; Raybold, Paul; ",Evaluation of selected biopesticides for the late fall control of varroa mites in a northern temperate climate,American Bee Journal,144,6,475-480,2004,"[Hamilton, Ill.: Dadant & Sons], 1861-"
"Goswami, Vimla; Srivastava, Poonam; Khan, MS; ",Efficacy of essential oils against Varroa destructor infesting Apis mellifera Linn. colonies and their impact on brood development,Journal of Applied and Natural Science,6,1,27-30,2014,
"Gashout, Hanan A; Guzman-Novoa, Ernesto; Goodwin, Paul H; Correa-Benítez, Adriana; ",Impact of sublethal exposure to synthetic and natural acaricides on honey bee (Apis mellifera) memory and expression of genes related to memory,Journal of insect physiology,121,,104014,2020,Elsevier
"Narendra, G; Chaudhary, OP; Kaushik, HD; ","Evaluation of ecto-parasitic brood mite, Varroa destructor detection techniques and its seasonal population dynamics",Annals of Plant Protection Sciences,24,2,254-258,2016,Society of Plant Protection Sciences
"Danka, Robert G; Harris, Jeffrey W; Villa, José D; ",Expression of Varroa sensitive hygiene (VSH) in commercial VSH honey bees (Hymenoptera: Apidae),Journal of economic entomology,104,3,745-749,2011,"Oxford University Press Oxford, UK"
"Cimmino, Alessio; Freda, Fabrizio; Santoro, Ernesto; Superchi, Stefano; Evidente, Antonio; Cristofaro, Massimo; Masi, Marco; ","α-Costic acid, a plant sesquiterpene with acaricidal activity against Varroa destructor parasitizing the honey bee",Natural Product Research,35,9,1428-1435,2021,Taylor & Francis
"Currie, RW; Tahmasbi, GH; ",The ability of high-and low-grooming lines of honey bees to remove the parasitic mite Varroa destructor is affected by environmental conditions,Canadian Journal of Zoology,86,9,1059-1067,2008,
"Koumad, S; Berkani, ML; ",Assessment of the efficacy of four medicinal plants as fumigants against Varroa destrutor in Algeria,Archivos de zootecnia,68,262,284-292,2019,"Instituto de Zootecnia, Facultad de Veterinaria"
"Roelandt, Sophie; Méroc, Estelle; Riocreux, Flavien; de Graaf, Dirk C; Bach, Kim; Nguyen, Marleen Brunain; Verhoeven, Bénédicte; Dispas, Marc; Roels, Stefan; ",Belgian honey bee winter mortality during 2012-2013: a case-control study and spatial,,,,,,
"Vandervalk, LP; Nasr, ME; Dosdall, LM; ",New miticides for integrated pest management of Varroa destructor (Acari: Varroidae) in honey bee colonies on the Canadian prairies,Journal of economic entomology,107,6,2030-2036,2014,"Oxford University Press Oxford, UK"
"Amrine Jr, James W; Noel, Robert C; Webb, David; ","Results of 50% formic acid fumigation of honey bee hives [Apis mellifera ligustica (Hymenoptera: Apidae)] to control varroa mites (Acari: Varroidae) in brood combs in Florida, USA",International Journal of Acarology,33,2,99-109,2007,Taylor & Francis
"Harris, JW; Rinderer, TE; ",Varroa resistance of hybrid ARS Russian honey bees,American Bee Journal,144,10,797-800,2004,"[Hamilton, Ill.: Dadant & Sons], 1861-"
"Lodesani, Marco; Costa, Cecilia; ",Maximizing the efficacy of a thymol based product against the mite Varroa destructor by increasing the air space in the hive,Journal of apicultural research,47,2,113-117,2008,Taylor & Francis
"Tejerina, Marcos Raúl; Benítez-Ahrendts, Marcelo Rafael; Audisio, Marcela Carina; ",Lactobacillus salivarius A3iob reduces the incidence of Varroa destructor and Nosema spp. in commercial apiaries located in the northwest of Argentina,Probiotics and Antimicrobial Proteins,12,,1360-1369,2020,Springer US
"Loucif-Ayad, Wahida; Aribi, Nadia; Smagghe, Guy; Soltani, Noureddine; ",A scientific note on the impact of acaracides on the nutritional biochemistry of Apis mellifera intermissa (Hymenoptera: Apidae),Apidologie,41,2,135-137,2010,EDP Sciences
"Conti, Barbara; Bocchino, Rossella; Cosci, Francesca; Ascrizzi, Roberta; Flamini, Guido; Bedini, Stefano; ",Essential oils against Varroa destructor: A soft way to fight the parasitic mite of Apis mellifera,Journal of Apicultural Research,59,5,774-782,2020,Taylor & Francis
"Lipinski, Z; Szubstarski, Jarosław; Szubstarska, Dagna; ",Detection of the high risk pyrethroid resistant Varroa destructor mites in apiaries of the Warmia-Mazury province in Poland,Annals of Parasitology,53,3,,2007,Polskie Towarzystwo Parazytologiczne
"Fries, Ingemar; Bommarco, Riccardo; ",Possible host-parasite adaptations in honey bees infested by Varroa destructor mites,Apidologie,38,6,525-533,2007,EDP Sciences
"Charpentier, Gael; Vidau, Cyril; Ferdy, Jean‐Baptiste; Tabart, Jeremy; Vetillard, Angelique; ",Lethal and sub‐lethal effects of thymol on honeybee (Apis mellifera) larvae reared in vitro,Pest management science,70,1,140-147,2014,Wiley Online Library
"Yetis, Fadime; ","Testing the effects of different concentrations of Metarhizium brunneum, oxalix acid and thymol on Varroa destructor",,,,,2019,Washington State University
"Calderone, Nicholas W; ",Effective fall treatment of Varroa jacobsoni (Acari: Varroidae) with a new formulation of formic acid in colonies of Apis mellifera (Hymenoptera: Apidae) in the northeastern United States,Journal of economic Entomology,93,4,1065-1075,2000,"Oxford University Press Oxford, UK"
"Campbell, Ewan M; Budge, Giles E; Watkins, Max; Bowman, Alan S; ","Transcriptome analysis of the synganglion from the honey bee mite, Varroa destructor and RNAi knockdown of neural peptide targets",Insect biochemistry and molecular biology,70,,116-126,2016,Elsevier
"Bogdanov, Stefan; Imdorf, A; Kilchenmann, V; ",Thymol residues in wax and honey after Apilife VAR Treatment,Swiss Bee Research Centre,133,,01-Sep,1998,
"Kouache, Benmoussa; Brada, Moussa; Saadi, Abdelkader; Fauconnier, Marie Laure; Lognay, Georges; Heuskin, Stephanie; ",Chemical composition and acaricidal activity of Thymus algeriensis essential oil against Varroa destructor,Natural product communications,12,1,1934578X1701200138,2017,"SAGE Publications Sage CA: Los Angeles, CA"
"Palmeri, Vincenzo; Campolo, Orlando; Zappalà, Lucia; ",Evaluation of two methods for applying Apiguard® in an area with continuous nectar flows and brood rearing,Journal of apicultural research,46,2,105-109,2007,Taylor & Francis
"Abdel Samed, AM; El-Moein, Abd; Nadia, M; Ramadan, ME; El-Doksh, HA; Abdel-Lateef, MS; Mohamed, RF; ",EVALUATION OF ACTIVITY OF SOME THYMOL-BASED FORMULATIONS FOR CONTROLLING HONEY BEE VARROOSIS.,Journal of Soil Sciences and Agricultural Engineering,32,3,2383-2391,2007,"Mansoura University, Faculty of Agriculture"
"Simon-Delso, Noa; San Martin, Gilles; Bruneau, Etienne; Minsart, Laure-Anne; Mouret, Coralie; Hautier, Louis; ",Honeybee colony disorder in crop areas: the role of pesticides and viruses,PloS one,9,7,e103073,2014,"Public Library of Science San Francisco, USA"
"Martin, Caroline; Provost, Eric; Bagnères, Anne‐Geneviève; Roux, Maurice; Clément, Jean‐Luc; Le Conte, Yves; ",Potential mechanism for detection by Apis mellifera of the parasitic mite Varroa destructor inside sealed brood cells,Physiological Entomology,27,3,175-188,2002,Wiley Online Library
"Gregorc, A; ",Efficacy of oxalic acid and apiguard against varroa mites in honeybee (Apis mellifera) colonies,Acta Veterinaria Brno,74,3,441-447,2005,University of Veterinary Sciences Brno
"Thaduri, Srinivas; Locke, Barbara; Granberg, Fredrik; de Miranda, Joachim R; ",Temporal changes in the viromes of Swedish Varroa-resistant and Varroa-susceptible honeybee populations,PLoS One,13,12,e0206938,2018,"Public Library of Science San Francisco, CA USA"
"Genath, Antonia; Sharbati, Soroush; Buer, Benjamin; Nauen, Ralf; Einspanier, Ralf; ",Comparative transcriptomics indicates endogenous differences in detoxification capacity after formic acid treatment between honey bees and varroa mites,Scientific reports,10,1,21943,2020,Nature Publishing Group UK London
"Ramzi, Hassan; Ismaili, Moulay Rchid; Aberchane, Mohamed; Zaanoun, Souad; ",Chemical characterization and acaricidal activity of Thymus satureioides C. & B. and Origanum elongatum E. & M.(Lamiaceae) essential oils against Varroa destructor Anderson & Trueman (Acari: Varroidae),Industrial Crops and Products,108,,201-207,2017,Elsevier
"Johnson, Reed M; Ellis, Marion D; Mullin, Christopher A; Frazier, Maryann; ",Pesticides and honey bee toxicity–USA,Apidologie,41,3,312-331,2010,EDP Sciences
"El Zalabani, Soheir M; El-Askary, Hesham I; Mousa, Ola M; Issa, Marwa Y; Zaitoun, Ahmed A; Abdel-Sattar, Essam; ",Acaricidal activity of Swietenia mahogani and Swietenia macrophylla ethanolic extracts against Varroa destructor in honeybee colonies,Experimental parasitology,130,2,166-170,2012,Elsevier
"Harris, Jeffrey W; Danka, Robert G; Villa, José D; ","Changes in infestation, cell cap condition, and reproductive status of Varroa destructor (Mesostigmata: Varroidae) in brood exposed to honey bees with Varroa sensitive hygiene",Annals of the Entomological Society of America,105,3,512-518,2012,Oxford University Press
"Sinia, Alice; Guzman-Novoa, Ernesto; ",Evaluation of the entomopathogenic fungi Beauveria bassiana GHA and Metarhizium anisopliae UAMH 9198 alone or in combination with thymol for the control of Varroa destructor in honey bee (Apis mellifera) colonies,Journal of Apicultural Research,57,2,308-316,2018,Taylor & Francis
"Colin, Théotime; Meikle, William G; Paten, Amy M; Barron, Andrew B; ",Long-term dynamics of honey bee colonies following exposure to chemical stress,Science of the Total Environment,677,,660-670,2019,Elsevier
"Soroker, Victoria; Singh, Nitin Kumar; Eliash, Nurit; Plettner, Erika; ",Olfaction as a target for control of honeybee parasite mite Varroa destructor,Olfactory Concepts of Insect Control-Alternative to insecticides: Volume 1,,,117-134,2019,Springer International Publishing
"Locke, Barbara; Forsgren, Eva; de Miranda, Joachim R; ",Increased tolerance and resistance to virus infections: a possible factor in the survival of Varroa destructor-resistant honey bees (Apis mellifera),Plos one,9,6,e99998,2014,"Public Library of Science San Francisco, USA"
"Aliano, Nicholas P; Ellis, Marion D; Siegfried, Blair D; ",Acute contact toxicity of oxalic acid to Varroa destructor (Acari: Varroidae) and their Apis mellifera (Hymenoptera: Apidae) hosts in laboratory bioassays,Journal of economic Entomology,99,5,1579-1582,2006,"Oxford University Press Oxford, UK"
"Bahreini, Rassol; Currie, Robert W; ",The influence of Nosema (Microspora: Nosematidae) infection on honey bee (Hymenoptera: Apidae) defense against Varroa destructor (Mesostigmata: Varroidae),Journal of Invertebrate Pathology,132,,57-65,2015,Elsevier
"Little, Catherine M; Shutler, Dave; Williams, Geoffrey R; ","Associations among Nosema spp. fungi, Varroa destructor mites, and chemical treatments in honey bees, Apis mellifera",Journal of apicultural research,54,4,378-385,2022,Taylor & Francis
"Oberreiter, Hannes; Brodschneider, Robert; ",Austrian COLOSS survey of honey bee colony winter losses 2018/19 and analysis of hive management practices,Diversity,12,3,99,2020,MDPI
"González-Gómez, Rebeca; Otero-Colina, Gabriel; Villanueva-Jiménez, Juan A; Peña-Valdivia, Cecilia Beatriz; Santizo-Rincón, José Antonio; ",Repellency of the oily extract of neem seeds (Azadirachta indica) against Varroa destructor (Acari: Varroidae),Experimental and applied acarology,56,,261-270,2012,Springer Netherlands
"Hakme, E; Lozano, A; Gómez-Ramos, MM; Hernando, MD; Fernández-Alba, AR; ",Non-target evaluation of contaminants in honey bees and pollen samples by gas chromatography time-of-flight mass spectrometry,Chemosphere,184,,1310-1319,2017,Elsevier
"Notardonato, Ivan; Avino, Pasquale; Cinelli, Giuseppe; Russo, Mario Vincenzo; ",Trace determination of acaricides in honey samples using XAD-2 adsorbent and gas chromatography coupled with an ion trap mass spectrometer detector,RSC Advances,4,80,42424-42431,2014,Royal Society of Chemistry
"Heaf, David; ",Dealing with Varroa: natural selection or artificial selection?,,,,,,
"Alquisira-Ramírez, Eva Vianey; Paredes-Gonzalez, José Roberto; Hernández-Velázquez, Víctor Manuel; Ramírez-Trujillo, José Augusto; Peña-Chora, Guadalupe; ",In vitro susceptibility of Varroa destructor and Apis mellifera to native strains of Bacillus thuringiensis,Apidologie,45,,707-718,2014,Springer Paris
"Kanga, Lambert HB; Adamczyk, John; Patt, Joseph; Gracia, Carlos; Cascino, John; ","Development of a user-friendly delivery method for the fungus Metarhizium anisopliae to control the ectoparasitic mite Varroa destructor in honey bee, Apis mellifera, colonies",Experimental and Applied Acarology,52,,327-342,2010,Springer Netherlands
"Rondeau, Sabrina; Giovenazzo, Pierre; Fournier, Valérie; ",The use of the predatory mite Stratiolaelaps scimitus (Mesostigmata: Laelapidae) to control Varroa destructor (Mesostigmata: Varroidae) in honey bee colonies in early and late fall,Journal of economic entomology,112,2,534-542,2019,Oxford University Press US
"Stevanovic, Jevrosima; Stanimirovic, Z; Lakic, Nada; Aleksic, Nevenka; Simeunovic, P; Kulisic, Z; ",Safety assessment of sugar dusting treatments by analysis of hygienic behavior in honey bee colonies,Archives of Biological Sciences,63,4,1199-1207,2011,
"Toomemaa, Kalle; ",The synergistic effect of weak oxalic acid and thymol aqueous solutions on Varroa mites and honey bees,Journal of Apicultural Research,58,1,37-52,2019,Taylor & Francis
"El-Dien, Serag; Sh, F; Metwally, MM; ","EVALUATION OF SOME CHEMICAL MATERIALS FOR CONTROLLING OF VARROA MITE, Varroa jacobsoni Oud. ON HONEYBEE",Journal of Plant Protection and Pathology,34,4,3897-3903,2009,"Mansoura University, Faculty of Agriculture"
"DeGrandi-Hoffman, Gloria; Ahumada, Fabiana; Probasco, Gene; Schantz, Lloyd; ",The effects of beta acids from hops (Humulus lupulus) on mortality of Varroa destructor (Acari: Varroidae),Experimental and Applied Acarology,58,,407-421,2012,Springer Netherlands
"Adjlane, Noureddine; Smaoui, Redha; Haddad, Nizar; ","Study of the efficacy of oxalic acid and thymovar (thymol) against the parasitic mite of the honey bee, Varroa destrutor","Egyptian Academic Journal of Biological Sciences. A, Entomology",13,4,87-94,2020,Egyptian Society of Biological Sciences
"Glavan, Gordana; Novak, Sara; Božič, Janko; Kokalj, Anita Jemec; ",Comparison of sublethal effects of natural acaricides carvacrol and thymol on honeybees,Pesticide biochemistry and physiology,166,,104567,2020,Elsevier
"Noureddine, Adjlane; Haddad, Nizar; Ounesse, TAREK; ",Effectiveness of treatments with thymol in controlling Varroa destructor parasite of the honey bee in algeria,Bulletin of Pure & Applied Sciences-Zoology,1,,,2016,
"Asha, Rachna Gulati; Sharma, SK; ",Comparative evaluation of oxalic acid and formic acid against Varroa destructor Anderson and Trueman in Apis mellifera L. colonies,J. Entomol. Zool. Stud,2,,119-124,2014,
"Bonafos, R; Guillet, B; Colin, ME; Kreiter, S; ",Monitoring of the susceptibility/resistance of Varroa destructor to acaricides.,"Les Cochenilles: ravageur principal ou secondaire. 9ème Conférence Internationale sur les Ravageurs en Agriculture, SupAgro, Montpellier, France, 25-27 octobre 2011",,,150-159,2011,Association Française de Protection des Plantes (AFPP)
"Diaz, Tsiri; del‐Val, Ek; Ayala, Ricardo; Larsen, John; ",Alterations in honey bee gut microorganisms caused by Nosema spp. and pest control methods,Pest management science,75,3,835-843,2019,Wiley Online Library
