Authors,Title,Publication,Volume,Issue,Pages,Year,Publisher
"Molineri, Ana; Giacobino, Agostina; Pacini, Adriana; Bulacio Cagnolo, Natalia; Merke, Julieta; Orellano, Emanuel; Bertozzi, Ezequiel; Zago, Luis; Aignasse, Andrea; Pietronave, Hernán; ",Environment and Varroa destructor management as determinant of colony losses in apiaries under temperate and subtropical climate,Journal of Apicultural Research,57,4,551-564,2018,Taylor & Francis
"Johnson, Reed M; Dahlgren, Lizette; Siegfried, Blair D; Ellis, Marion D; ","Acaricide, fungicide and drug interactions in honey bees (Apis mellifera)",PloS one,8,1,e54092,2013,"Public Library of Science San Francisco, USA"
"Webster, Thomas C; Thacker, Etta M; Vorisek, Fritz E; ",Live Varroa jacobsoni (Mesostigmata: Varroidae) fallen from honey bee (Hymenoptera: Apidae) colonies,Journal of economic Entomology,93,6,1596-1601,2000,"Oxford University Press Oxford, UK"
"Locke, Barbara; Semberg, Emilia; Forsgren, Eva; De Miranda, Joachim R; ",Persistence of subclinical deformed wing virus infections in honeybees following Varroa mite removal and a bee population turnover,PloS one,12,7,e0180910,2017,"Public Library of Science San Francisco, CA USA"
"Mathieu, Laetitia; Faucon, Jean-Paul; ",Changes in the response time for Varroa jacobsoni exposed to amitraz,Journal of Apicultural Research,39,03-Apr,155-158,2000,Taylor & Francis
"Al Toufailia, Hasan; Scandian, Luciano; Ratnieks, Francis LW; ",Towards integrated control of varroa: 2) comparing application methods and doses of oxalic acid on the mortality of phoretic Varroa destructor mites and their honey bee hosts,Journal of Apicultural Research,54,2,108-120,2015,Taylor & Francis
"Koutouvela, Evgenia; Papachristoforou, Alexandros; ","The heart of Varroa destructor: description, function and inhibition following acaricide application",Systematic and Applied Acarology,24,4,638-644,2019,BioOne
"Martel, Anne-Claire; Zeggane, Sarah; Aurières, Clément; Drajnudel, Patrick; Faucon, Jean-Paul; Aubert, Michel; ",Acaricide residues in honey and wax after treatment of honey bee colonies with Apivar $^{\circledR} $ or Asuntol $^{\circledR} $50,Apidologie,38,6,534-544,2007,EDP Sciences
"Sammataro, Diana; Untalan, Pia; Guerrero, Felix; Finley, Jennifer; ",The resistance of varroa mites (Acari: Varroidae) to acaricides and the presence of esterase,International Journal of Acarology,31,1,67-74,2005,Taylor & Francis
"Strachecka, Aneta; Olszewski, Krzysztof; Paleolog, Jerzy; ",Varroa treatment with bromfenvinphos markedly suppresses honeybee biochemical defence levels,Entomologia Experimentalis et Applicata,160,1,57-71,2016,Wiley Online Library
"Grindrod, Isobel; Martin, Stephen J; ",Parallel evolution of Varroa resistance in honey bees: a common mechanism across continents?,Proceedings of the Royal Society B,288,1956,20211375,2021,The Royal Society
"Maggi, Matías Daniel; Damiani, Natalia; Ruffinengo, Sergio Roberto; Brasesco, Maria Constanza; Szawarski, Nicolas; Mitton, Giulia Angelica; Mariani, Fernando; Sammataro, Diana; Quintana, Silvina; Eguaras, Martin Javier; ",The susceptibility of Varroa destructor against oxalic acid: a study case,,,,,2016,"Alma Mater Studiorum, Univ Bologna"
"Maggi, Matías; Tourn, Elian; Negri, Pedro; Szawarski, Nicolás; Marconi, Alfredo; Gallez, Liliana; Medici, Sandra; Ruffinengo, Sergio; Brasesco, Constanza; De Feudis, Leonardo; ",A new formulation of oxalic acid for Varroa destructor control applied in Apis mellifera colonies in the presence of brood,Apidologie,47,,596-605,2016,Springer Paris
"Abd El-Wahab, Tarek E; Shalaby, Shehata EM; Al-Kahtani, Saad N; Al Naggar, Yahya; Jamal, Zakia A; Masry, Saad HD; ","Mode of application of acaricides against the ectoparasitic mite (Varroa destructor) infesting honeybee colonies, determines their efficiencies and residues in honey and beeswax",Journal of King Saud University-Science,33,1,101236,2021,Elsevier
"de Mattos, Igor Medici; Soares, Ademilson EE; Tarpy, David R; ",Effects of synthetic acaricides on honey bee grooming behavior against the parasitic Varroa destructor mite,Apidologie,48,,483-494,2017,Springer Paris
"Danka, Robert G; Harris, Jeffrey W; Villalobos, Ethel; Glenn, Thomas; ","Varroa destructor resistance of honey bees in Hawaii, USA, with different genetic proportions of Varroa Sensitive Hygiene (VSH)",Journal of Apicultural Research,51,3,288-290,2012,Taylor & Francis
"Elzen, Patti J; Westervelt, David; Lucas, Raymond; ",Formic acid treatment for control of Varroa destructor (Mesostigmata: Varroidae) and safety to Apis mellifera (Hymenoptera: Apidae) under southern United States conditions,Journal of economic entomology,97,5,1509-1512,2004,"Oxford University Press Oxford, UK"
"Elzen, Patti J; Baxter, James R; Spivak, Marla; Wilson, William T; ",Control of Varroa jacobsoni Oud. resistant to fluvalinate and amitraz using coumaphos,Apidologie,31,3,437-441,2000,EDP Sciences
"Giacobino, Agostina; Molineri, Ana; Cagnolo, Natalia Bulacio; Merke, Julieta; Orellano, Emanuel; Bertozzi, Ezequiel; Masciangelo, Germán; Pietronave, Hernán; Pacini, Adriana; Salto, Cesar; ",Key management practices to prevent high infestation levels of Varroa destructor in honey bee colonies at the beginning of the honey yield season,Preventive Veterinary Medicine,131,,95-102,2016,Elsevier
"Jung, Chuleui; ",Incorporation of damage function of Varroa mites into honeybee-varroa mite interaction model,Journal of Apiculture,27,3,215-221,2012,
"Rodríguez Dehaibes, Sóstenes Rafael; Meroi Arcerito, Facundo René; Chávez-Hernández, Elissa; Luna-Olivares, Gonzalo; Marcangeli, Jorge; Eguaras, Martin; Maggi, Matias; ",Control of Varroa destructor development in Africanized Apis mellifera honeybees using Aluen Cap (oxalic acid formulation),International Journal of Acarology,46,6,405-408,2020,Taylor & Francis
"O’Shea-Wheller, Thomas A; Rinkevich, Frank D; Danka, Robert G; Simone-Finstrom, Michael; Tokarz, Philip G; Healy, Kristen B; ",A derived honey bee stock confers resistance to Varroa destructor and associated viral transmission,Scientific reports,12,1,4852,2022,Nature Publishing Group UK London
"Mitton, Giulia Angelica; Szawarski, Nicolás; Ramos, Facundo; Fuselli, Sandra; Meroi Arcerito, Facundo René; Eguaras, Martín Javier; Ruffinengo, Sergio Roberto; Maggi, Matías Daniel; ",Varroa destructor: when reversion to coumaphos resistance does not happen,Journal of Apicultural Research,57,4,536-540,2018,Taylor & Francis
"Vu, Philene Dung; ",Toxicological Analysis of Acaricides for Varroa Mite Management,,,,,2016,Virginia Tech
"Panini, Michela; Reguzzi, Maria Cristina; Chiesa, Olga; Cominelli, Filippo; Lupi, Daniela; Moores, Graham; Mazzoni, Emanuele; ",Pyrethroid resistance in Italian populations of the mite Varroa destructor: a focus on the Lombardy region,Bulletin of Insectology,72,2,227-232,2019,"Alma Mater Studiorum, Università di Bologna"
"Melathopoulos, Adony P; Winston, Mark L; Whittington, Robin; Smith, Tasha; Lindberg, Chris; Mukai, Amy; Moore, Margo; ","Comparative laboratory toxicity of neem pesticides to honey bees (Hymenoptera: Apidae), their mite parasites Varroa jacobsoni (Acari: Varroidae) and Acarapis woodi (Acari: Tarsonemidae), and brood pathogens Paenibacillus larvae and Ascophaera apis",Journal of Economic Entomology,93,2,199-209,2000,"Oxford University Press Oxford, UK"
"Tentcheva, Diana; Gauthier, Laurent; Jouve, Sandrine; Canabady-Rochelle, Laetitia; Dainat, Benjamin; Cousserans, François; Colin, Marc Edouard; Ball, Brenda V; Bergoin, Max; ",Polymerase Chain Reaction detection of deformed wing virus (DWV) in Apis mellifera and Varroa destructor,Apidologie,35,4,431-439,2004,EDP Sciences
"Iglesias, Azucena Elizabeth; Fuentes, Giselle; Mitton, Giulia; Ramos, Facundo; Brasesco, Constanza; Manzo, Rosa; Orallo, Dalila; Gende, Liesel; Eguaras, Martin; Ramirez, Cristina; ",Hydrolats from Humulus lupulus and their potential activity as an organic control for Varroa destructor,Plants,11,23,3329,2022,MDPI
"Plettner, Erika; Eliash, Nurit; Singh, Nitin K; Pinnelli, Govardhana R; Soroker, Victoria; ",The chemical ecology of host-parasite interaction as a target of Varroa destructor control agents,Apidologie,48,,78-92,2017,Springer Paris
"Rangel, Juliana; Ward, Lauren; ",Evaluation of the predatory mite Stratiolaelaps scimitus for the biological control of the honey bee ectoparasitic mite Varroa destructor,Journal of Apicultural Research,57,3,425-432,2018,Taylor & Francis
"Qadir, Ziyad Abdul; Idrees, Atif; Mahmood, Rashid; Sarwar, Ghulam; Bakar, Muhammad Abu; Ahmad, Saboor; Raza, Muhammad Mohsin; Li, Jun; ",Effectiveness of different soft Acaricides against honey bee ectoparasitic mite varroa destructor (Acari: Varroidae),Insects,12,11,1032,2021,MDPI
"Garrido, Paula Melisa; Porrini, Martín Pablo; Damiani, Natalia; Ruffinengo, S; Martínez Noël, Giselle María Astrid; Salerno, G; Eguaras, Martin Javier; ",Heat shock proteins in Varroa destructor exposed to heat stress and in-hive acaricides,Experimental and Applied Acarology,76,,421-433,2018,Springer International Publishing
"Adamczyk, Sabine; Lázaro, Regina; Pérez-Arquillué, Consuelo; Conchello, Pilar; Herrera, Antonio; ",Evaluation of residues of essential oil components in honey after different anti-Varroa treatments,Journal of agricultural and food chemistry,53,26,10085-10090,2005,ACS Publications
"Sevin, Sedat; Bommuraj, Vijayakumar; Chen, Yaira; Afik, Ohad; Zarchin, Shlomi; Barel, Shimon; Arslan, Okan Can; Erdem, Babür; Tutun, Hidayet; Shimshoni, Jakob A; ",Lithium salts: assessment of their chronic and acute toxicities to honey bees and their anti‐Varroa field efficacy,Pest Management Science,78,11,4507-4516,2022,Wiley Online Library
"Premrov Bajuk, Blanka; Babnik, Katarina; Snoj, Tomaž; Milčinski, Luka; Pislak Ocepek, Metka; Škof, Martina; Jenčič, Vlasta; Filazi, Ayhan; Štajnbaher, Darinka; Kobal, Silvestra; ","Coumaphos residues in honey, bee brood, and beeswax after Varroa treatment",Apidologie,48,,588-598,2017,Springer Paris
"Delaplane, Keith S; Berry, Jennifer A; Skinner, John A; Parkman, James P; Hood, W Michael; ",Integrated pest management against Varroa destructor reduces colony mite levels and delays treatment threshold,Journal of Apicultural Research,44,4,157-162,2005,Taylor & Francis
"Hernández-Rodríguez, Carmen Sara; Marín, Óscar; Calatayud, Fernando; Mahiques, María José; Mompó, Ana; Segura, Inmaculada; Simó, Enrique; González-Cabrera, Joel; ","Large-scale monitoring of resistance to coumaphos, amitraz, and pyrethroids in Varroa destructor",Insects,12,1,27,2021,MDPI
"Gatien, P; Currie, RW; ",Timing of acaracide treatments for control of low-level populations of Varroa destructor (Acari: Varroidae) and implications for colony performance of honey bees,The Canadian Entomologist,135,5,749-763,2003,Cambridge University Press
"Spreafico, Massimo; Eördegh, Francesca Romana; Bernardinelli, Iris; Colombo, Mario; ",First detection of strains of Varroa destructor resistant to coumaphos. Results of laboratory tests and field trials,Apidologie,32,1,49-55,2001,EDP Sciences
"Borneck, R; ","Fluvalinate, an interesting molecule against Varroa jacobsoni",Eur Res Varroatosis Control,10845,,223,1988,
"Charrière, Jean-Daniel; Imdorf, Anton; Bachofen, Boris; Tschan, Anna; ",The removal of capped drone brood: an effective means of reducing the infestation of varroa in honey bee colonies,Bee World,84,3,117-124,2003,Taylor & Francis
"Noël, Amélie; Le Conte, Yves; Mondet, Fanny; ",Varroa destructor: how does it harm Apis mellifera honey bees and what can be done about it?,Emerging Topics in Life Sciences,4,1,45-57,2020,Portland Press Ltd.
"Smodiš Škerl, Maja Ivana; Nakrst, Mitja; Žvokelj, Lucija; Gregorc, Aleš; ","The acaricidal effect of flumethrin, oxalic acid and amitraz against Varroa destructor in honey bee (Apis mellifera carnica) colonies",Acta Veterinaria Brno,80,1,51-56,2011,University of Veterinary Sciences Brno
"Melathopoulos, AP; Pernal, SF; Moller, E; Baumgartner, W; Guzman-Novoa, E; ","A spring evaluation of thymol formulated in a sucrose dust for the control of Varroa destructor, a parasite of the honey bee (Apis mellifera) in Alberta, Canada",Sci Bee Cult,2,2,02-Jun,2010,
"Jerković, Igor; Marijanović, Zvonimir; Kuś, Piotr M; Tuberoso, Carlo IG; ","Comprehensive Study of Mediterranean (Croatian) Propolis Peculiarity: Headspace, Volatiles, Anti‐Varroa‐Treatment Residue, Phenolics, and Antioxidant Properties",Chemistry & Biodiversity,13,2,210-218,2016,Wiley Online Library
"Qi, Suzhen; Al Naggar, Yahya; Li, Jiahuan; Liu, Zhaoyong; Xue, Xiaofeng; Wu, Liming; El-Seedi, Hesham R; Wang, Kai; ",Acaricide flumethrin-induced sublethal risks in honeybees are associated with gut symbiotic bacterium Gilliamella apicola through microbe-host metabolic interactions,Chemosphere,307,,136030,2022,Elsevier
"Ruffinengo, Sergio R; Maggi, Matías D; Marcangeli, Jorge A; Eguaras, Martín J; Principal, Judith; Barrios, Carlos; De Piano, Fiorella; Giullia, Mitton; ",Integrated Pest Management to control Varroa destructor and its implications to Apis mellifera colonies,Zootecnia Tropical,32,2,149-168,2014,Instituto Nacional de Investigaciones Agricolas INIA.
"Barlow, Vonny M; Fell, Richard D; ",Sampling methods for Varroa mites on the domesticated honeybee,,,,,2009,Virginia Cooperative Extension
"Boi, Michela; Serra, Giorgia; Colombo, Roberto; Lodesani, Marco; Massi, Sergio; Costa, Cecilia; ",A 10 year survey of acaricide residues in beeswax analysed in Italy,Pest Management Science,72,7,1366-1372,2016,Wiley Online Library
"Rosenkranz, Peter; Aumeier, Pia; Ziegelmann, Bettina; ",Biology and control of Varroa destructor,Journal of invertebrate pathology,103,,S96-S119,2010,Elsevier
"Giacobino, Agostina; Cagnolo, N Bulacio; Merke, Julieta; Orellano, Emanuel; Bertozzi, Ezequiel; Masciangelo, G; Pietronave, H; Salto, C; Signorini, Marcelo; ",Risk factors associated with the presence of Varroa destructor in honey bee colonies from east-central Argentina,Preventive Veterinary Medicine,115,03-Apr,280-287,2014,Elsevier
"Korta, E; Bakkali, A; Berrueta, LA; Gallo, B; Vicente, F; Kilchenmann, V; Bogdanov, S; ",Study of acaricide stability in honey. Characterization of amitraz degradation products in honey and beeswax,Journal of Agricultural and food Chemistry,49,12,5835-5842,2001,ACS Publications
"Melathopoulos, Adony P; Winston, Mark L; Whittington, Robin; Higo, Heather; Le Doux, Monique; ",Field evaluation of neem and canola oil for the selective control of the honey bee (Hymenoptera: Apidae) mite parasites Varroa jacobsoni (Acari: Varroidae) and Acarapis woodi (Acari: Tarsonemidae),Journal of economic entomology,93,3,559-567,2000,"Oxford University Press Oxford, UK"
"Ghasemi, Vahid; Moharramipour, Saeid; Tahmasbi, Gholamhosein; ","Biological activity of some plant essential oils against Varroa destructor (Acari: Varroidae), an ectoparasitic mite of Apis mellifera (Hymenoptera: Apidae)",Experimental and applied acarology,55,,147-154,2011,Springer Netherlands
"Riva, Clémence; Sokolowski, Michel BC; Normand, Julien; Santos, Jana Sopkova‐de Oliveira; Halm‐Lemeille, Marie‐Pierre; ","Effect of oral exposure to the acaricide pirimicarb, a new varroacide candidate, on Apis mellifera feeding rate",Pest management science,74,8,1790-1797,2018,Wiley Online Library
